score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
HAMA,GNG,S2_D5,4,15,0.12857142857142856,0.6479163294665076,0.8755342451193817,False,False
HAMA,GNG,S3_D1,5,15,-0.30357142857142855,0.27135583600386837,0.8755342451193817,False,False
HAMA,GNG,S3_D3,6,15,0.007142857142857141,0.9798442277615982,0.9798442277615982,False,False
HAMA,GNG,S3_D4,7,15,-0.3071428571428571,0.26547268571027804,0.8755342451193817,False,False
HAMA,GNG,S3_D6,8,15,0.0857142857142857,0.7613341261907667,0.8755342451193817,False,False
HAMA,GNG,S4_D4,9,15,-0.1607142857142857,0.5671967045803448,0.8755342451193817,False,False
HAMA,GNG,S4_D5,10,15,-0.0964285714285714,0.732452863386731,0.8755342451193817,False,False
HAMA,GNG,S4_D7,11,15,-0.2714285714285714,0.3277893068411728,0.8755342451193817,False,False
HAMA,GNG,S5_D2,12,15,0.10357142857142855,0.7133796306287293,0.8755342451193817,False,False
HAMA,GNG,S5_D5,13,15,-0.19999999999999998,0.47481396452216845,0.8755342451193817,False,False
HAMA,GNG,S5_D8,14,15,0.024999999999999998,0.9295289708192378,0.9717802876746576,False,False
HAMA,GNG,S6_D3,15,15,-0.06071428571428571,0.8298120954425187,0.9088418188179966,False,False
HAMA,GNG,S6_D6,16,15,-0.22499999999999998,0.42010468690763497,0.8755342451193817,False,False
HAMA,GNG,S7_D4,17,15,-0.13928571428571426,0.6205460876279013,0.8755342451193817,False,False
HAMA,GNG,S7_D6,18,15,-0.17857142857142855,0.5242843600465525,0.8755342451193817,False,False
HAMA,GNG,S7_D7,19,15,-0.14285714285714282,0.6115222287644656,0.8755342451193817,False,False
HAMA,GNG,S8_D5,20,15,-0.3214285714285714,0.24271904680166828,0.8755342451193817,False,False
HAMA,GNG,S8_D7,21,15,-0.23928571428571427,0.3903793119202356,0.8755342451193817,False,False
HAMA,GNG,S8_D8,22,15,-0.46071428571428563,0.08393338135031418,0.8755342451193817,False,False
HAMA,1backWM,S1_D1,0,15,-0.3607142857142856,0.18655437415416348,0.7151251009242934,False,False
HAMA,1backWM,S1_D3,1,15,0.014285714285714282,0.9596997645989476,1.0,False,False
HAMA,1backWM,S2_D2,2,15,-0.2071428571428571,0.4588428049634703,0.8117988087815244,False,False
HAMA,1backWM,S2_D1,3,15,0.11428571428571425,0.6850657626568974,0.8753618078393689,False,False
HAMA,1backWM,S2_D5,4,15,0.0,1.0,1.0,False,False
HAMA,1backWM,S3_D1,5,15,-0.30357142857142855,0.27135583600386837,0.7801480285111215,False,False
